Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_BH-18650-A1AJ005,1,Battery_Cell,C5290176
"C1, C13, C19",1206,3,47uF,C96123
"C10, C20, C21, C24, C3, C4, C8",0603,7,10uF,C96446
C11,1206,1,4.7uF 50V,C51205
"C12, C14, C15, C16, C17, C18, C2, C22, C23, C25, C26, C27, C28, C5, C6, C7, C9",0402,17,100nF,C307331
D1,SOT-23-6,1,SRV05-4-P-T7,C85364
"D13, D8",D_SMA,2,D,C22452
"D2, D3, D4",0603,3,RED,C2286
"D5, D6, D7",D_SOD-523,3,ESD5Z5.0,C5199848
F1,1206,1,BSMD1206-075-6V,C883127
"FB1, FB2",1206,2,0R,C17888
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L2,L_Sunlord_SWPA4030S,1,22uH,C83472
"LED1, LED2, LED3, LED4, LED5, LED6",LED-SMD_L3.3-W2.8-RD,6,HL-AM-2835H421W-S1-08-HR3,C210315
R1,0603,1,620,C23220
"R11, R12, R3, R30, R31, R6, R7",0402,7,10k,C25744
"R13, R14, R15, R16, R2, R26, R27, R34, R8, R9",0402,10,1k,C11702
R18,0402,1,100k,C25741
"R19, R20, R23",0402,3,4k7,C25900
"R21, R28, R29, R35, R36",0603,5,2M,C22976
"R24, R39",0402,2,22k,C25768
R25,0603,1,4Ω3,C2933230
R37,0402,1,10,C25077
"R4, R5",0402,2,5k1,C25905
"R40, R41, R42",0603,3,1M,C22935
R43,0402,1,82k,C2909388
SW1,SW_TACTILE_5.1MM_TS-1187A-C-D-B,1,SW_Push,C318884
SW3,SW-SMD_SSSS213800,1,SSSS213800,C361168
TH1,0603,1,Thermistor_NTC,C279936
U1,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,BQ25170DSGR,C5208201
U2,SENSOR-SMD_VCNL4020-GS08,1,VCNL4020-GS08,C511034
U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TPS61165DRV,C122568
U4,TO-5-4_BD9.2-P2.54_XYC-PIR224D-D0,1,XYC-PIR224S-S1,C6081347
U6,MSOP-10_3x3mm_P0.5mm,1,CH340X,C3035748
U7,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L051K8Ux,C516778
