Designator,Mid X,Mid Y,Rotation,Layer
BT1,87.8,-109.9,0.0,bottom
C1,87.8,-125.975,270.0,top
C10,65.9,-99.0,270.0,top
C11,75.1,-97.7,270.0,top
C12,84.6,-133.02,90.0,top
C13,63.9,-98.425,90.0,top
C14,81.1,-84.9,90.0,top
C15,91.4,-138.08,270.0,top
C16,86.8,-136.2,270.0,top
C17,91.92,-139.6,0.0,top
C18,91.1,-133.0,90.0,top
C19,92.8,-133.4,90.0,top
C2,80.7,-138.48,270.0,top
C20,83.4,-133.4,270.0,top
C3,81.875,-123.8,0.0,top
C4,79.3,-109.7,0.0,top
C5,79.3,-111.5,0.0,top
C6,74.68,-118.8,0.0,top
C7,76.6,-111.1,90.0,top
C8,58.325,-107.9,0.0,top
C9,67.2,-99.4,270.0,top
D1,85.5,-139.3,270.0,top
D13,59.6,-114.4,0.0,top
D2,104.985238,-140.992775,120.0,top
D3,102.199497,-142.442941,115.0,top
D4,99.297964,-143.644795,110.0,top
D5,87.5,-78.0,270.0,top
D6,58.2,-111.8,0.0,top
D7,84.8,-78.0,270.0,top
D8,72.8,-93.5,180.0,top
D9,85.9,-93.0,180.0,top
F1,56.1,-109.9,180.0,top
FB1,82.5,-139.2,270.0,top
FB2,80.725,-142.9,180.0,top
J1,87.8,-145.34,0.0,bottom
L2,69.1,-97.7,90.0,top
LED1,75.8,-89.11539,210.0,top
LED2,99.799999,-89.115391,150.0,top
LED3,111.799999,-109.9,90.0,top
LED4,99.8,-130.68461,30.0,top
LED5,75.8,-130.68461,330.0,top
LED6,63.8,-109.9,270.0,top
Q1,90.6,-125.7,180.0,top
R1,87.8,-129.0,90.0,top
R10,81.0,-115.9,180.0,top
R11,77.39,-135.2,0.0,top
R12,77.41,-137.4,180.0,top
R13,92.7,-111.6,180.0,top
R14,74.7,-110.99,270.0,top
R15,73.7,-111.0,270.0,top
R16,72.7,-111.0,270.0,top
R18,91.1,-131.1,90.0,top
R19,82.3,-114.09,270.0,top
R2,89.4,-129.0,90.0,top
R20,81.3,-112.99,270.0,top
R21,76.6,-119.3,90.0,top
R22,92.5,-136.6,0.0,top
R23,94.0,-137.79,270.0,top
R24,94.51,-136.3,0.0,top
R25,73.5,-101.6,270.0,top
R26,88.29,-92.9,0.0,top
R27,92.6,-130.49,0.0,top
R28,90.1,-78.0,90.0,top
R29,82.2,-77.975,270.0,top
R3,90.81,-123.4,0.0,top
R30,83.5,-77.69,270.0,top
R31,88.8,-77.71,270.0,top
R32,87.71,-112.8,180.0,top
R33,87.975,-111.5,0.0,top
R34,75.3,-108.99,270.0,top
R35,80.6,-77.975,90.0,top
R36,91.7,-78.0,270.0,top
R37,84.7,-131.0,90.0,top
R38,76.79,-108.5,0.0,top
R39,80.8,-118.0,270.0,top
R4,77.41,-136.4,180.0,top
R5,77.39,-134.2,180.0,top
R6,79.0,-128.0,90.0,top
R7,78.0,-125.9,270.0,top
R8,79.0,-125.9,270.0,top
R9,78.0,-128.0,90.0,top
SW1,96.9,-115.15,270.0,top
SW3,87.8,-75.005,0.0,bottom
TH1,87.8,-109.9,0.0,top
U1,83.3,-127.3,90.0,top
U2,87.82,-133.5,180.0,top
U3,72.15,-97.75,270.0,top
U4,87.86,-86.0,0.0,top
U6,89.1,-138.2,0.0,top
U7,76.8,-115.15,180.0,top
